Date,Price,Open,High,Low,Vol.,Change %
11/01/2019,5.42,4.99,5.54,4.96,7.34B,7.82%
12/01/2019,5.88,5.41,6.05,5.01,6.57B,8.56%
01/01/2020,5.91,5.97,6.49,5.78,6.13B,0.48%
02/01/2020,6.75,5.89,7.91,5.89,11.86B,14.23%
03/01/2020,6.59,6.92,7.12,4.52,15.78B,-2.40%
04/01/2020,7.31,6.39,7.61,5.96,11.28B,10.88%
05/01/2020,8.88,7.11,9.18,7.02,12.55B,21.47%
06/01/2020,9.5,8.83,9.64,8.66,9.72B,7.01%
07/01/2020,10.61,9.52,10.79,9.41,8.10B,11.76%
08/01/2020,13.37,10.73,13.57,10.72,9.67B,26.00%
09/01/2020,13.53,13.48,14.73,11.7,15.86B,1.17%
10/01/2020,12.53,13.76,14.35,12.3,8.02B,-7.36%
11/01/2020,13.4,12.66,14.69,12.4,7.60B,6.92%
12/01/2020,13.06,13.49,13.73,12.76,5.12B,-2.59%
01/01/2021,12.99,13.1,14,12.59,6.16B,-0.50%
02/01/2021,13.71,13.05,15.37,12.9,6.68B,5.58%
03/01/2021,13.35,13.88,13.93,11.57,7.65B,-2.67%
04/01/2021,15.01,13.57,16.21,13.51,6.72B,12.45%
05/01/2021,16.24,15.13,16.28,13.46,7.05B,8.23%
06/01/2021,20,16.27,20.16,15.9,10.27B,23.13%
07/01/2021,19.5,20.13,20.88,17.87,7.82B,-2.52%
08/01/2021,22.39,19.7,23.04,18.76,6.42B,14.80%
09/01/2021,20.72,22.49,22.99,20.47,5.00B,-7.46%
10/01/2021,25.57,20.75,25.71,19.56,4.97B,23.42%
11/01/2021,32.68,25.65,34.65,25.23,10.81B,27.81%
12/01/2021,29.41,33.22,33.29,27.15,11.06B,-9.99%
01/01/2022,24.49,29.82,30.71,20.89,10.68B,-16.75%
02/01/2022,24.39,25.1,26.92,20.89,10.65B,-0.41%
03/01/2022,27.29,24.29,28.95,20.65,11.65B,11.90%
04/01/2022,18.55,27.38,27.56,18.29,11.11B,-32.03%
05/01/2022,18.67,18.54,20.4,15.57,13.83B,0.67%
06/01/2022,15.16,18.72,19.62,14.86,10.56B,-18.81%
07/01/2022,18.16,14.9,18.24,14.06,10.57B,19.82%
08/01/2022,15.09,18.18,19.27,14.96,12.07B,-16.90%
09/01/2022,12.14,14.21,14.55,11.95,13.13B,-19.58%
10/01/2022,13.5,12.35,13.85,10.81,12.55B,11.19%
11/01/2022,16.92,13.81,17,12.96,10.60B,25.38%
12/01/2022,14.61,17,18.79,13.88,8.95B,-13.64%
01/01/2023,19.54,14.85,20.63,14.03,9.45B,33.69%
02/01/2023,23.22,19.69,23.89,19.61,10.39B,18.83%
03/01/2023,27.78,23.19,27.83,22.3,11.27B,19.65%
04/01/2023,27.75,27.51,28.11,26.22,7.44B,-0.10%
05/01/2023,37.83,27.84,41.94,27.24,11.70B,36.34%
06/01/2023,42.3,38.49,43.99,37.36,10.53B,11.81%
07/01/2023,46.73,42.52,48.09,41.35,8.71B,10.47%
08/01/2023,49.35,46.46,50.27,40.31,13.64B,5.62%
09/01/2023,43.5,49.76,49.8,40.98,8.58B,-11.87%
10/01/2023,40.78,44.03,47.61,39.23,10.14B,-6.25%
11/01/2023,46.77,40.88,50.55,40.87,9.15B,14.69%
12/01/2023,49.52,46.53,50.43,45.01,7.41B,5.88%
